square_id,model,datetime,actual,predicted,absolute_error,percentage_error
5059,CNN,2013-12-22 18:10:00,1255.7268,1651.4042,395.67737,31.509829
5259,LSTM,2013-12-19 12:20:00,2906.8586,3302.3796,395.521,13.606475
5259,CNN,2013-12-18 11:00:00,2981.039,3373.6255,392.58643,13.16945
5259,LSTM,2013-12-19 17:00:00,2529.0251,2919.8594,390.83423,15.453948
5259,MLP,2013-12-20 17:20:00,1719.5378,2106.9766,387.43872,22.53156
5259,CNN,2013-12-18 10:10:00,3279.4287,2894.0718,385.35693,11.750734
5259,CNN,2013-12-19 16:00:00,3048.158,2666.6052,381.55273,12.517485
5059,CNN,2013-12-17 14:00:00,2396.328,2775.984,379.656,15.843241
5059,CNN,2013-12-21 17:00:00,2288.752,2667.334,378.58203,16.540981
5059,LSTM,2013-12-17 14:30:00,2892.69,2514.942,377.74805,13.058712
5059,CNN,2013-12-17 13:30:00,2544.7542,2918.1855,373.4314,14.674557
5259,MLP,2013-12-18 10:10:00,3279.4287,2906.2485,373.18018,11.379427
5059,LSTM,2013-12-18 14:00:00,2524.7148,2892.815,368.1001,14.579868
5259,CNN,2013-12-17 15:10:00,3764.5303,3396.9297,367.6006,9.764847
5059,LSTM,2013-12-22 15:20:00,2651.8508,2284.6418,367.20898,13.847272
5059,MLP,2013-12-17 15:40:00,3181.4688,2816.6333,364.83545,11.467516
5259,LSTM,2013-12-19 11:40:00,3468.6465,3106.2288,362.41772,10.44839
5259,MLP,2013-12-18 11:00:00,2981.039,3343.2202,362.18115,12.149493
5259,LSTM,2013-12-18 10:10:00,3279.4287,2923.475,355.9536,10.854135
5059,MLP,2013-12-18 15:30:00,2889.628,2533.8062,355.82178,12.313758
5059,CNN,2013-12-22 15:20:00,2651.8508,2297.0571,354.7937,13.379097
5059,MLP,2013-12-17 13:30:00,2544.7542,2898.9487,354.19458,13.918617
5059,MLP,2013-12-21 17:00:00,2288.752,2642.2498,353.4978,15.445003
5059,CNN,2013-12-22 16:40:00,2008.1633,2360.4907,352.3274,17.544758
5059,MLP,2013-12-21 13:40:00,2213.5137,2563.1072,349.5935,15.793601
5259,LSTM,2013-12-17 07:40:00,1657.8983,1309.5779,348.32043,21.009758
5259,CNN,2013-12-20 14:40:00,3127.0876,2779.115,347.97266,11.127691
5259,LSTM,2013-12-16 17:20:00,2317.7249,2660.7925,343.06763,14.801913
5259,LSTM,2013-12-20 14:40:00,3127.0876,2784.978,342.10962,10.940199
5059,LSTM,2013-12-21 17:00:00,2288.752,2630.8389,342.0869,14.946439
5059,MLP,2013-12-22 16:40:00,2008.1633,2348.0415,339.87817,16.924828
5259,CNN,2013-12-22 00:30:00,957.0945,1295.6545,338.56006,35.373734
5259,MLP,2013-12-17 17:20:00,2516.4592,2854.7913,338.33203,13.444765
5259,MLP,2013-12-17 15:10:00,3764.5303,3427.8013,336.729,8.944781
5259,LSTM,2013-12-20 17:20:00,1719.5378,2052.8079,333.27002,19.38137
5259,LSTM,2013-12-17 15:10:00,3764.5303,3433.21,331.3203,8.801106
5259,CNN,2013-12-22 00:40:00,955.59314,1284.1125,328.5194,34.378586
5059,LSTM,2013-12-17 13:30:00,2544.7542,2870.8398,326.0857,12.814034
5059,LSTM,2013-12-17 14:00:00,2396.328,2719.3193,322.99146,13.4786
5259,CNN,2013-12-20 17:20:00,1719.5378,2040.3428,320.80493,18.656462
5259,MLP,2013-12-16 17:20:00,2317.7249,2638.2312,320.50635,13.828489
5059,LSTM,2013-12-22 16:40:00,2008.1633,2324.8784,316.7151,15.771381
